symbol,buy_date,earnings_date,sell_date,buy_price,sell_price,earnings_day_return,total_return,earnings_move,earnings_abs_move,earnings_volume_ratio,result,profitable
GME,2024-03-26,2024-03-27,2024-03-28,15.5,12.520000457763672,-15.032257572297139,-19.22580349829889,-15.032257572297137,15.032257572297137,3.4634168084619827,BIG_LOSS,False
GME,2024-05-02,2024-05-03,2024-05-06,12.760000228881836,16.309999465942383,29.075227413203308,27.82131013622744,29.075227413203297,29.075227413203297,6.530922204566845,BIG_WIN,True
GME,2024-05-10,2024-05-13,2024-05-14,17.459999084472656,48.75,74.39863894390997,179.20963663368025,74.39863894390997,74.39863894390997,8.602645597329179,BIG_WIN,True
GME,2024-05-13,2024-05-14,2024-05-15,30.450000762939453,39.54999923706055,60.09851815614201,29.885051711383394,60.098518156142,60.098518156142,6.487062410118082,BIG_WIN,True
GME,2024-05-14,2024-05-15,2024-05-16,48.75,27.670000076293945,-18.871796436798878,-43.24102548452524,-18.87179643679888,18.87179643679888,3.4328281426574874,BIG_LOSS,False
GME,2024-09-10,2024-09-11,2024-09-12,23.450000762939453,20.399999618530277,-11.982947897093284,-13.006401045536082,-11.982947897093288,11.982947897093288,3.2022033382234896,BIG_LOSS,False
GME,2024-09-19,2024-09-20,2024-09-23,19.51000022888184,22.309999465942383,11.993849949442044,14.351610477766855,11.993849949442037,11.993849949442037,4.674648349337844,BIG_WIN,True
GME,2024-11-08,2024-11-11,2024-11-12,24.8799991607666,26.84000015258789,9.565921014451938,7.877817756971732,9.565921014451927,9.565921014451927,3.609208611254909,WIN,True
AMC,2023-03-27,2023-03-28,2023-03-29,45.5,50.0,13.186813186813188,9.89010989010989,13.186813186813184,13.186813186813184,3.0994374447616724,WIN,True
AMC,2023-07-21,2023-07-24,2023-07-25,44.0,51.20000076293945,32.95454545454545,16.363638097589668,32.95454545454546,32.95454545454546,7.427245995716564,BIG_WIN,True
AMC,2023-08-22,2023-08-23,2023-08-24,25.5,14.369999885559082,-23.137253406001072,-43.64705927231732,-23.13725340600107,23.13725340600107,3.520027166226519,BIG_LOSS,False
AMC,2023-08-23,2023-08-24,2023-08-25,19.600000381469727,12.43000030517578,-26.683675480206638,-36.581632330337214,-26.683675480206638,26.683675480206638,3.8915439893822508,BIG_LOSS,False
AMC,2023-08-24,2023-08-25,2023-08-28,14.369999885559082,11.06999969482422,-13.500345134538772,-22.96451090477146,-13.500345134538772,13.500345134538772,3.0593220441345883,BIG_LOSS,False
AMC,2023-08-29,2023-08-30,2023-08-31,10.90999984741211,12.550000190734863,16.681940607505407,15.032084017047605,16.681940607505407,16.681940607505407,4.29703863836099,BIG_WIN,True
AMC,2023-09-05,2023-09-06,2023-09-07,13.640000343322754,8.119999885559082,-36.80352149126692,-40.46921054856058,-36.80352149126692,36.80352149126692,4.101101036689779,BIG_LOSS,False
AMC,2023-11-08,2023-11-09,2023-11-10,10.09000015258789,8.010000228881836,-13.676908756903977,-20.614468704171177,-13.676908756903982,13.676908756903982,3.1661878310670004,BIG_LOSS,False
AMC,2024-03-27,2024-03-28,2024-04-01,4.340000152587891,3.140000104904175,-14.285716640078054,-27.64976971183215,-14.28571664007805,14.28571664007805,3.325407420865952,BIG_LOSS,False
AMC,2024-03-28,2024-04-01,2024-04-02,3.7200000286102295,3.0999999046325684,-15.591395678637651,-16.666669871217437,-15.591395678637653,15.591395678637653,3.0812205862056636,BIG_LOSS,False
AMC,2024-05-10,2024-05-13,2024-05-14,2.9100000858306885,6.849999904632568,78.35051216979335,135.395178783205,78.35051216979335,78.35051216979335,10.90153743625738,BIG_WIN,True
AMC,2024-05-13,2024-05-14,2024-05-15,5.190000057220459,5.480000019073486,31.98458244914036,5.587667796835032,31.984582449140355,31.984582449140355,8.122283766646849,WIN,True
AMC,2024-05-14,2024-05-15,2024-05-16,6.849999904632568,4.639999866485596,-19.999998607774703,-32.262774728688356,-19.999998607774707,19.999998607774707,3.355508963442291,BIG_LOSS,False
PLTR,2023-02-13,2023-02-14,2023-02-15,7.610000133514404,10.109999656677246,21.156374576446737,32.85150432721881,21.156374576446744,21.156374576446744,4.339794627501725,BIG_WIN,True
PLTR,2023-05-08,2023-05-09,2023-05-10,7.739999771118164,9.9399995803833,23.385019032826357,28.423770986072167,23.38501903282635,23.38501903282635,5.594995334653086,BIG_WIN,True
PLTR,2024-02-05,2024-02-06,2024-02-07,16.719999313354492,23.600000381469727,30.801445797701255,41.14833343695226,30.801445797701255,30.801445797701255,6.316013116219674,BIG_WIN,True
PLTR,2024-05-03,2024-05-06,2024-05-07,23.32999992370605,21.399999618530277,8.058290471129846,-8.27261170804662,8.058290471129848,8.058290471129848,4.315407066229312,BIG_LOSS,False
PLTR,2024-05-06,2024-05-07,2024-05-08,25.209999084472656,21.559999465942383,-15.113048807245036,-14.47838060723446,-15.113048807245033,15.113048807245033,3.3950357633511152,BIG_LOSS,False
PLTR,2024-11-04,2024-11-05,2024-11-06,41.40999984741211,55.52999877929688,23.47259419589341,34.09804149701583,23.472594195893404,23.472594195893404,3.8915103809127847,BIG_WIN,True
PLTR,2024-12-19,2024-12-20,2024-12-23,74.20999908447266,80.69000244140625,8.543328453714679,8.731981453816564,8.543328453714683,8.543328453714683,3.030761337195299,WIN,True
COIN,2023-06-05,2023-06-06,2023-06-07,58.709999084472656,53.2599983215332,-12.093337736056732,-9.282917472197411,-12.09333773605673,12.09333773605673,4.213298424653456,BIG_LOSS,False
COIN,2023-07-12,2023-07-13,2023-07-14,85.94999694824219,105.30999755859376,24.490987549928374,22.524725186447515,24.490987549928377,24.490987549928377,3.2184803713941497,BIG_WIN,True
