symbol,signal_date,surge_date,surge_pct,actual_return,signal_type,confidence,reason,volume_ratio,close_position,prev_day_return,buy_price,sell_price
ROKU,2023-11-01,2023-11-02,30.737021866521765,30.737021866521765,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.1747712556245427,0.9260705644862033,0.2182324471734498,59.70000076293945,78.05000305175781
PLUG,2024-05-13,2024-05-14,19.031139527744777,19.031139527744788,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.5385872318667755,0.8157897048378879,12.890631621121585,2.890000104904175,3.440000057220459
PLUG,2024-12-04,2024-12-05,15.023470237079838,15.023470237079842,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.5218587036389577,1.0,5.445551215498057,2.130000114440918,2.450000047683716
RIVN,2023-07-06,2023-07-07,14.24606754925206,14.246067549252073,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.1423268494389625,0.9295776791966573,5.82477002585331,21.6200008392334,24.700000762939453
RIVN,2024-06-25,2024-06-26,23.244144850370006,23.244144850370017,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.055972960298913,0.9175258745535183,8.628517615949383,11.960000038146973,14.739999771118164
LCID,2024-07-11,2024-07-12,25.0,25.0,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.374657479453586,0.7164177149965981,7.9365079365079305,34.0,42.5
LCID,2024-12-06,2024-12-09,10.869565217391308,10.869565217391305,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.849615594100244,0.8695655058373181,10.047848898560897,23.0,25.5
UPST,2023-02-14,2023-02-15,28.130561803018317,28.130561803018324,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.8537715653568274,0.7772282346209356,4.723432080015222,16.850000381469727,21.59000015258789
UPST,2023-05-09,2023-05-10,34.634486216597374,34.634486216597374,SCHEDULED_CATALYST,90,Likely earnings/FDA (high vol + strong close + momentum),3.61778600764428,0.9646018072548446,5.306427743454778,14.09000015258789,18.969999313354492
UPST,2023-05-17,2023-05-18,14.96026579826868,14.960265798268674,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.8547201587529538,0.703180150094188,10.371518658013844,21.389999389648438,24.59000015258789
UPST,2023-11-02,2023-11-03,10.535907245699594,10.5359072456996,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.6629006904222758,0.9781426175703296,11.549410878263068,27.43000030517578,30.31999969482422
UPST,2024-05-08,2024-05-09,13.241018542300376,13.241018542300386,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.7345523379097894,0.9492190672318181,-5.557820764877219,23.110000610351562,26.170000076293945
RBLX,2023-11-07,2023-11-08,11.833480359258107,11.83348035925812,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.6912730167883676,0.8756758205729887,3.60413966232771,35.06999969482422,39.220001220703125
RBLX,2024-02-06,2024-02-07,10.197052610690594,10.197052610690587,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.7420590049538054,0.8984748965965951,3.176620199419,40.599998474121094,44.7400016784668
