symbol,earnings_date,sell_date,hold_days,gap_pct,volume_ratio,buy_price,sell_price,earnings_day_return,total_return,profitable
NVAX,2024-05-13,2024-05-22,7,9.12161548990453,6.811495092172735,9.6899995803833,15.699999809265137,35.29411996278603,62.0227088662485,True
GME,2023-03-22,2023-03-23,1,50.708220716011134,9.357213383685314,26.600000381469727,22.57999992370605,-10.2631560266372,-15.11278345907136,False
GME,2023-03-22,2023-03-24,2,50.708220716011134,9.357213383685314,26.600000381469727,23.979999542236328,-10.2631560266372,-9.849627073909973,False
GME,2023-03-22,2023-03-27,3,50.708220716011134,9.357213383685314,26.600000381469727,23.0,-10.2631560266372,-13.533835826474586,False
GME,2023-03-22,2023-03-29,5,50.708220716011134,9.357213383685314,26.600000381469727,22.459999084472656,-10.2631560266372,-15.56391442716334,False
GME,2023-03-22,2023-03-31,7,50.708220716011134,9.357213383685314,26.600000381469727,23.020000457763672,-10.2631560266372,-13.458646136712007,False
GME,2023-11-29,2023-11-30,1,14.825797138128664,9.272118226600986,15.489999771118164,14.550000190734863,4.906392770249695,-6.068428626680643,False
GME,2023-11-29,2023-12-01,2,14.825797138128664,9.272118226600986,15.489999771118164,15.300000190734863,4.906392770249695,-1.2265951142075804,False
GME,2023-11-29,2023-12-04,3,14.825797138128664,9.272118226600986,15.489999771118164,16.979999542236328,4.906392770249695,9.619107767169494,True
GME,2023-11-29,2023-12-06,5,14.825797138128664,9.272118226600986,15.489999771118164,14.84000015258789,4.906392770249695,-4.196253248126113,False
GME,2023-11-29,2023-12-08,7,14.825797138128664,9.272118226600986,15.489999771118164,15.550000190734863,4.906392770249695,0.38734938995010726,True
GME,2024-05-13,2024-05-14,1,50.85911531354148,8.602645597329179,26.34000015258789,48.75,15.603646873736851,85.07972557931188,True
GME,2024-05-13,2024-05-15,2,50.85911531354148,8.602645597329179,26.34000015258789,39.54999923706055,15.603646873736851,50.151856522198166,True
GME,2024-05-13,2024-05-16,3,50.85911531354148,8.602645597329179,26.34000015258789,27.670000076293945,15.603646873736851,5.049354274872253,True
GME,2024-05-13,2024-05-20,5,50.85911531354148,8.602645597329179,26.34000015258789,23.13999938964844,15.603646873736851,-12.148825908890707,False
GME,2024-05-13,2024-05-22,7,50.85911531354148,8.602645597329179,26.34000015258789,21.1200008392334,15.603646873736851,-19.8177649320994,False
GME,2024-05-14,2024-05-15,1,112.90640461972981,6.487062410118082,64.83000183105469,39.54999923706055,-24.803333914687766,-38.99429566556727,False
GME,2024-05-14,2024-05-16,2,112.90640461972981,6.487062410118082,64.83000183105469,27.670000076293945,-24.803333914687766,-57.319143460150975,False
GME,2024-05-14,2024-05-17,3,112.90640461972981,6.487062410118082,64.83000183105469,22.209999084472656,-24.803333914687766,-65.74117159158604,False
GME,2024-05-14,2024-05-21,5,112.90640461972981,6.487062410118082,64.83000183105469,22.1200008392334,-24.803333914687766,-65.87999349918647,False
GME,2024-05-14,2024-05-23,7,112.90640461972981,6.487062410118082,64.83000183105469,18.31999969482422,-24.803333914687766,-71.74147897980065,False
AMC,2023-07-24,2023-07-25,1,32.727276195179336,7.427245995716564,58.400001525878906,51.20000076293945,0.17123025943206735,-12.32876810756401,False
AMC,2023-07-24,2023-07-26,2,32.727276195179336,7.427245995716564,58.400001525878906,50.70000076293945,0.17123025943206735,-13.184932468755736,False
AMC,2023-07-24,2023-07-27,3,32.727276195179336,7.427245995716564,58.400001525878906,45.20000076293945,0.17123025943206735,-22.602740441864732,False
AMC,2023-07-24,2023-07-31,5,32.727276195179336,7.427245995716564,58.400001525878906,49.70000076293945,0.17123025943206735,-14.897261191139192,False
AMC,2023-07-24,2023-08-02,7,32.727276195179336,7.427245995716564,58.400001525878906,48.0,0.17123025943206735,-17.8082213255942,False
AMC,2024-05-13,2024-05-14,1,20.962195089478655,10.90153743625738,3.5199999809265137,6.849999904632568,47.443184242699274,94.60227107244334,True
AMC,2024-05-13,2024-05-15,2,20.962195089478655,10.90153743625738,3.5199999809265137,5.480000019073486,47.443184242699274,55.68181956725673,True
AMC,2024-05-13,2024-05-16,3,20.962195089478655,10.90153743625738,3.5199999809265137,4.639999866485596,47.443184242699274,31.818178739429488,True
AMC,2024-05-13,2024-05-20,5,20.962195089478655,10.90153743625738,3.5199999809265137,4.829999923706055,47.443184242699274,37.21590766698613,True
AMC,2024-05-13,2024-05-22,7,20.962195089478655,10.90153743625738,3.5199999809265137,5.059999942779541,47.443184242699274,43.74999915334311,True
AMC,2024-05-14,2024-05-15,1,128.9017337854007,8.122283766646849,11.880000114440918,5.480000019073486,-42.340068698265874,-53.87205415585655,False
AMC,2024-05-14,2024-05-16,2,128.9017337854007,8.122283766646849,11.880000114440918,4.639999866485596,-42.340068698265874,-60.94276244286082,False
