scan_ts,date,mfo,zone,orig_sym,orig_price,new_sym,new_price,orig_pnl,new_pnl,note
2026-04-30 06:01:51,2026-04-30,5,Z1,EXPE,248.78,EXPE,248.78,-0.26480424471420394,-0.26480424471420394,OK
2026-04-30 06:01:55,2026-04-30,5,Z1,EXPE,248.78,EXPE,248.78,-0.26480424471420394,-0.26480424471420394,OK
2026-04-30 09:30:32,2026-04-30,5,Z1,DVN,50.7898,DVN,50.7898,0.9832883768000736,0.9832883768000736,OK
2026-04-30 09:33:12,2026-04-30,5,Z1,UPS,107.12,RKLB,79.12,1.4403286034353915,4.2983822042467015,CHANGED
2026-05-01 09:30:40,2026-05-01,5,Z1,JBHT,252.65,JBHT,252.65,-1.6515535325549242,-1.6515535325549242,OK
2026-05-01 10:34:44,2026-05-01,30,Z3,INTC,98.7997,INTC,98.7997,0.7808731200600815,0.7808731200600815,OK
2026-05-01 10:50:10,2026-05-01,75,Z4,PLTR,143.2592,PLTR,143.2592,0.5078492690172797,0.5078492690172797,OK
2026-05-01 11:12:29,2026-05-01,5,Z1,CHTR,168.77,,,,,no_pass_after_fix
2026-05-01 11:25:14,2026-05-01,75,Z4,FSLR,210.15,FSLR,210.15,1.05774446823697,1.05774446823697,OK
2026-05-05 09:36:00,2026-05-05,5,Z1,AKAM,110.495,AKAM,110.495,6.2396533779809005,6.2396533779809005,OK
2026-05-06 09:31:29,2026-05-06,5,Z1,FFIV,332.92,FFIV,332.92,2.333016941006838,2.333016941006838,OK
2026-05-07 09:31:32,2026-05-07,5,Z1,DKNG,24.45,DKNG,24.45,3.580981595092033,3.580981595092033,OK
2026-05-08 09:32:41,2026-05-08,5,Z1,HL,18.909,,,,,no_pass_after_fix
2026-05-08 09:32:53,2026-05-08,5,Z1,HL,18.909,,,,,no_pass_after_fix
2026-05-08 09:35:35,2026-05-08,5,Z1,GLW,194.8768,GLW,194.8768,-4.103452437642661,-4.103452437642661,OK
2026-05-11 09:32:30,2026-05-11,5,Z1,NET,201.015,,,,,no_pass_after_fix
2026-05-11 09:35:16,2026-05-11,5,Z1,NET,201.015,,,,,no_pass_after_fix
2026-05-11 09:35:50,2026-05-11,5,Z1,NET,201.015,,,,,no_pass_after_fix
2026-05-11 09:36:32,2026-05-11,5,Z1,RMBS,129.96,RMBS,129.96,3.401077254539845,3.401077254539845,OK
2026-05-11 09:38:23,2026-05-11,5,Z1,RMBS,129.96,RMBS,129.96,3.401077254539845,3.401077254539845,OK
2026-05-12 09:35:11,2026-05-12,5,Z1,FTI,72.71,FTI,72.71,0.5601567872369744,0.5601567872369744,OK
2026-05-12 09:37:06,2026-05-12,5,Z1,TGT,122.25,,,,,no_pass_after_fix
2026-05-12 09:41:56,2026-05-12,5,Z1,RBLX,42.46,,,,,no_pass_after_fix
2026-05-14 09:36:51,2026-05-14,5,Z1,AVGO,432.2,AVGO,432.2,1.9360944007404006,1.9360944007404006,OK
2026-05-14 09:38:11,2026-05-14,5,Z1,F,14.11,F,14.11,2.5222537207654216,2.5222537207654216,OK
2026-05-14 10:09:56,2026-05-14,30,Z3,HPE,33.67,HPE,33.67,1.35530145530144,1.35530145530144,OK
2026-05-14 10:14:23,2026-05-14,30,Z3,MRVL,188.07,,,,,no_pass_after_fix
2026-05-14 10:18:09,2026-05-14,30,Z3,HPE,33.67,HPE,33.67,1.35530145530144,1.35530145530144,OK
2026-05-14 10:19:20,2026-05-14,30,Z3,HPE,33.67,HPE,33.67,1.35530145530144,1.35530145530144,OK
2026-05-14 10:20:22,2026-05-14,30,Z3,APO,133.59,,,,,no_pass_after_fix
2026-05-14 10:20:51,2026-05-14,30,Z3,NVDA,231.92,NVDA,231.92,1.6721628147637175,1.6721628147637175,OK
2026-05-14 10:34:17,2026-05-14,30,Z3,ARES,125.89,ARES,125.89,1.9970688696481056,1.9970688696481056,OK
2026-05-15 09:31:39,2026-05-15,5,Z1,WDAY,121.58,WDAY,121.58,2.7211876953446343,2.7211876953446343,OK
2026-05-15 09:33:44,2026-05-15,5,Z1,FIS,42.59,FIS,42.59,-1.9548955153792118,-1.9548955153792118,OK
