label,threshold,tp,sl,window,n,n_per_year,wr_cons,wr_mid,avg_cons,avg_mid,avg_opt,std,sharpe_mid
L_touch_5_in_30d,0.9,7.0,-4.0,30,11732,3595.0,0.306,0.871,-0.644,2.464,5.571,3.489,2.05
L_touch_5_in_30d,0.9,3.0,-2.0,30,11732,3595.0,0.169,0.948,-1.156,0.793,2.742,1.137,2.02
L_touch_5_in_30d,0.9,7.0,-5.0,30,11732,3595.0,0.376,0.872,-0.501,2.477,5.456,3.977,1.81
L_touch_5_in_30d,0.9,4.0,-3.0,30,11732,3595.0,0.235,0.932,-1.356,1.083,3.522,1.837,1.71
L_touch_5_in_30d,0.9,5.0,-4.0,30,11732,3595.0,0.306,0.913,-1.248,1.482,4.212,2.644,1.62
L_touch_5_in_30d,0.9,7.0,-7.0,30,11732,3595.0,0.499,0.499,-0.018,2.618,5.254,4.821,1.57
L_touch_5_in_30d,0.9,2.5,-2.0,30,11732,3595.0,0.169,0.957,-1.24,0.533,2.307,0.996,1.55
L_touch_5_in_30d,0.9,7.0,none,30,11732,3595.0,0.889,0.889,4.449,4.449,4.449,8.293,1.55
L_touch_5_in_30d,0.9,3.0,-2.5,30,11732,3595.0,0.199,0.948,-1.404,0.656,2.716,1.316,1.44
L_touch_5_in_30d,0.9,5.0,-5.0,30,11732,3595.0,0.376,0.376,-1.237,1.445,4.128,3.078,1.36
L_touch_5_in_30d,0.9,5.0,none,30,11732,3595.0,0.92,0.92,3.267,3.267,3.267,7.002,1.35
L_touch_5_in_30d,0.9,4.0,none,30,11732,3595.0,0.936,0.936,2.659,2.659,2.659,6.204,1.24
L_touch_5_in_30d,0.9,4.0,-4.0,30,11732,3595.0,0.306,0.306,-1.553,0.951,3.455,2.253,1.22
L_touch_5_in_30d,0.9,3.0,none,30,11732,3595.0,0.95,0.95,1.982,1.982,1.982,5.439,1.06
L_touch_5_in_30d,0.9,3.0,-3.0,30,11732,3595.0,0.235,0.235,-1.591,0.55,2.69,1.509,1.06
L_touch_5_in_30d,0.9,2.5,-2.5,30,11732,3595.0,0.199,0.199,-1.504,0.391,2.286,1.166,0.97
L_touch_5_in_30d,0.9,2.5,none,30,11732,3595.0,0.958,0.958,1.634,1.634,1.634,5.05,0.94
L_touch_5_in_30d,0.9,2.0,-2.0,30,11732,3595.0,0.169,0.169,-1.325,0.268,1.862,0.861,0.9
L_touch_5_in_30d,0.9,2.0,none,30,11732,3595.0,0.966,0.966,1.289,1.289,1.289,4.635,0.81
L_touch_5_in_30d,0.9,1.5,none,30,11732,3595.0,0.974,0.974,0.967,0.967,0.967,3.972,0.71
L_touch_2_in_5d,0.9,5.0,-2.0,5,8369,2522.0,0.181,0.696,-0.757,1.044,2.844,2.372,3.12
L_touch_2_in_5d,0.9,4.0,-2.0,5,8369,2522.0,0.182,0.758,-0.919,0.81,2.539,1.932,2.98
L_touch_2_in_5d,0.9,7.0,-2.0,5,8369,2522.0,0.18,0.584,-0.477,1.341,3.159,3.201,2.97
L_touch_2_in_5d,0.9,7.0,-2.5,5,8369,2522.0,0.219,0.595,-0.56,1.227,3.014,3.499,2.49
L_touch_2_in_5d,0.9,5.0,-2.5,5,8369,2522.0,0.221,0.701,-0.882,0.919,2.719,2.644,2.47
L_touch_2_in_5d,0.9,3.0,-2.0,5,8369,2522.0,0.183,0.819,-1.088,0.503,2.094,1.505,2.37
L_touch_2_in_5d,0.9,4.0,-2.5,5,8369,2522.0,0.222,0.761,-1.071,0.681,2.433,2.185,2.21
L_touch_2_in_5d,0.9,7.0,-3.0,5,8369,2522.0,0.257,0.606,-0.609,1.136,2.881,3.789,2.13
L_touch_2_in_5d,0.9,7.0,none,5,8369,2522.0,0.714,0.714,2.19,2.19,2.19,7.324,2.12
L_touch_2_in_5d,0.9,5.0,-3.0,5,8369,2522.0,0.259,0.707,-0.975,0.815,2.605,2.905,1.99
L_touch_2_in_5d,0.9,5.0,none,5,8369,2522.0,0.767,0.767,1.767,1.767,1.767,6.356,1.97
L_touch_2_in_5d,0.9,4.0,none,5,8369,2522.0,0.801,0.801,1.479,1.479,1.479,5.778,1.82
L_touch_2_in_5d,0.9,2.5,-2.0,5,8369,2522.0,0.183,0.852,-1.178,0.327,1.832,1.292,1.8
L_touch_2_in_5d,0.9,7.0,-4.0,5,8369,2522.0,0.338,0.631,-0.529,1.079,2.688,4.352,1.76
L_touch_2_in_5d,0.9,4.0,-3.0,5,8369,2522.0,0.261,0.764,-1.188,0.573,2.334,2.434,1.67
L_touch_2_in_5d,0.9,7.0,-5.0,5,8369,2522.0,0.406,0.654,-0.412,1.075,2.561,4.818,1.58
L_touch_2_in_5d,0.9,3.0,none,5,8369,2522.0,0.839,0.839,1.106,1.106,1.106,5.181,1.52
L_touch_2_in_5d,0.9,7.0,-7.0,5,8369,2522.0,0.517,0.517,0.066,1.204,2.342,5.649,1.51
L_touch_2_in_5d,0.9,3.0,-2.5,5,8369,2522.0,0.223,0.82,-1.272,0.368,2.007,1.739,1.5
L_touch_2_in_5d,0.9,5.0,-4.0,5,8369,2522.0,0.343,0.72,-0.981,0.718,2.417,3.427,1.49
L_touch_2_in_5d,0.9,2.5,none,5,8369,2522.0,0.862,0.862,0.925,0.925,0.925,4.797,1.37
L_touch_2_in_5d,0.9,5.0,-5.0,5,8369,2522.0,0.414,0.414,-0.915,0.682,2.28,3.876,1.25
L_touch_2_in_5d,0.9,4.0,-4.0,5,8369,2522.0,0.347,0.347,-1.242,0.456,2.153,2.938,1.1
L_touch_2_in_5d,0.9,2.0,none,5,8369,2522.0,0.883,0.883,0.683,0.683,0.683,4.463,1.09
L_touch_2_in_5d,0.9,3.0,-3.0,5,8369,2522.0,0.263,0.263,-1.42,0.253,1.925,1.969,0.91
L_touch_2_in_5d,0.9,2.5,-2.5,5,8369,2522.0,0.224,0.224,-1.379,0.19,1.759,1.512,0.89
L_touch_2_in_5d,0.9,2.0,-2.0,5,8369,2522.0,0.183,0.183,-1.268,0.119,1.507,1.1,0.77
L_touch_2_in_5d,0.9,1.5,none,5,8369,2522.0,0.902,0.902,0.413,0.413,0.413,4.086,0.72
