year,mean,count,label_name,overall_rate
2021,0.35619663931730805,246319,L_touch_5_dd-5_in_14d,0.3578811295572482
2022,0.3213383940566175,247132,L_touch_5_dd-5_in_14d,0.3578811295572482
2023,0.36695572240887014,245858,L_touch_5_dd-5_in_14d,0.3578811295572482
2024,0.37459901958029046,249077,L_touch_5_dd-5_in_14d,0.3578811295572482
2025,0.36221127083007,248979,L_touch_5_dd-5_in_14d,0.3578811295572482
2026,0.3336784619444952,98514,L_touch_5_dd-5_in_14d,0.3578811295572482
2020,0.4463531637444681,236808,L_touch_5_dd-7_in_14d,0.41240310373265626
2021,0.4060466305887893,246319,L_touch_5_dd-7_in_14d,0.41240310373265626
2022,0.3857655018370749,247132,L_touch_5_dd-7_in_14d,0.41240310373265626
2023,0.41262436040315953,245858,L_touch_5_dd-7_in_14d,0.41240310373265626
2024,0.418693817574485,249077,L_touch_5_dd-7_in_14d,0.41240310373265626
2025,0.41575393908723224,248979,L_touch_5_dd-7_in_14d,0.41240310373265626
2026,0.38858436364374604,98514,L_touch_5_dd-7_in_14d,0.41240310373265626
2020,0.5373087057869667,236808,L_touch_5_dd-10_in_30d,0.5123098238873978
2021,0.5279008115492512,246319,L_touch_5_dd-10_in_30d,0.5123098238873978
2022,0.44307495589401613,247132,L_touch_5_dd-10_in_30d,0.5123098238873978
2023,0.5244328026747147,245858,L_touch_5_dd-10_in_30d,0.5123098238873978
2024,0.5537042761876849,249077,L_touch_5_dd-10_in_30d,0.5123098238873978
2025,0.5134489254113801,248979,L_touch_5_dd-10_in_30d,0.5123098238873978
2026,0.44912398237813916,98514,L_touch_5_dd-10_in_30d,0.5123098238873978
2020,0.4891262119522989,236808,L_touch_7_dd-10_in_30d,0.4393703260725116
2021,0.4413463841603774,246319,L_touch_7_dd-10_in_30d,0.4393703260725116
2022,0.3883026075133936,247132,L_touch_7_dd-10_in_30d,0.4393703260725116
2023,0.4377974277835173,245858,L_touch_7_dd-10_in_30d,0.4393703260725116
2024,0.4639087511090948,249077,L_touch_7_dd-10_in_30d,0.4393703260725116
2025,0.43791645078500596,248979,L_touch_7_dd-10_in_30d,0.4393703260725116
2026,0.3884930060702032,98514,L_touch_7_dd-10_in_30d,0.4393703260725116
2020,0.3557143339752035,236808,L_close_3_at_7d,0.3011088665449641
2021,0.2891575558523703,246319,L_close_3_at_7d,0.3011088665449641
2022,0.2969101532784099,247132,L_close_3_at_7d,0.3011088665449641
2023,0.28651498019181804,245858,L_close_3_at_7d,0.3011088665449641
2024,0.2785604451635438,249077,L_close_3_at_7d,0.3011088665449641
2025,0.3015635856839332,248979,L_close_3_at_7d,0.3011088665449641
2026,0.302545831049394,98514,L_close_3_at_7d,0.3011088665449641
2020,0.3560141549271984,236808,L_close_5_at_14d,0.28124477407138226
2021,0.2615388987451232,246319,L_close_5_at_14d,0.28124477407138226
2022,0.26677645954388746,247132,L_close_5_at_14d,0.28124477407138226
2023,0.2661251616786926,245858,L_close_5_at_14d,0.28124477407138226
2024,0.2636373490928508,249077,L_close_5_at_14d,0.28124477407138226
2025,0.276276312460087,248979,L_close_5_at_14d,0.28124477407138226
2026,0.28188886858720585,98514,L_close_5_at_14d,0.28124477407138226
2020,0.46538968278098714,236808,L_close_5_at_30d,0.3698142096933465
2021,0.360719229941661,246319,L_close_5_at_30d,0.3698142096933465
2022,0.3271490539468786,247132,L_close_5_at_30d,0.3698142096933465
2023,0.35204060880670957,245858,L_close_5_at_30d,0.3698142096933465
2024,0.3719532514041842,249077,L_close_5_at_30d,0.3698142096933465
2025,0.36512316299768255,248979,L_close_5_at_30d,0.3698142096933465
2026,0.3206447814523824,98514,L_close_5_at_30d,0.3698142096933465
2020,0.3327885882233708,236808,L_close_10_at_30d,0.23014242503435203
2021,0.2013202392020104,246319,L_close_10_at_30d,0.23014242503435203
2022,0.21243707816065907,247132,L_close_10_at_30d,0.23014242503435203
2023,0.20836011030757592,245858,L_close_10_at_30d,0.23014242503435203
2024,0.21486528262344576,249077,L_close_10_at_30d,0.23014242503435203
2025,0.22462938641411526,248979,L_close_10_at_30d,0.23014242503435203
2026,0.20680309397649066,98514,L_close_10_at_30d,0.23014242503435203
2020,0.5335081585081585,236808,L_close_green_3d,0.5223677693018381
2021,0.5382370016117312,246319,L_close_green_3d,0.5223677693018381
2022,0.4910776427172523,247132,L_close_green_3d,0.5223677693018381
2023,0.5227367016733236,245858,L_close_green_3d,0.5223677693018381
2024,0.52302701574212,249077,L_close_green_3d,0.5223677693018381
2025,0.5276268279654107,248979,L_close_green_3d,0.5223677693018381
2026,0.5185252857461884,98514,L_close_green_3d,0.5223677693018381
2020,0.5465186986926117,236808,L_close_green_5d,0.5281565880559832
2021,0.5424145112638489,246319,L_close_green_5d,0.5281565880559832
2022,0.49260718968000905,247132,L_close_green_5d,0.5281565880559832
2023,0.5276094330873919,245858,L_close_green_5d,0.5281565880559832
2024,0.5289087310349811,249077,L_close_green_5d,0.5281565880559832
2025,0.5349808618397536,248979,L_close_green_5d,0.5281565880559832
2026,0.5197636884097692,98514,L_close_green_5d,0.5281565880559832
2020,0.5560454038714908,236808,L_close_green_7d,0.5329630117118028
2021,0.5476191442803844,246319,L_close_green_7d,0.5329630117118028
2022,0.4909117394752602,247132,L_close_green_7d,0.5329630117118028
2023,0.5325472427173409,245858,L_close_green_7d,0.5329630117118028
2024,0.5338349185191728,249077,L_close_green_7d,0.5329630117118028
2025,0.54225858405729,248979,L_close_green_7d,0.5329630117118028
2026,0.5216618957711594,98514,L_close_green_7d,0.5329630117118028
2020,0.5829701699266917,236808,L_close_green_14d,0.5409983041762283
2021,0.5567861188134087,246319,L_close_green_14d,0.5409983041762283
2022,0.4813702798504443,247132,L_close_green_14d,0.5409983041762283
2023,0.5350242823093004,245858,L_close_green_14d,0.5409983041762283
2024,0.5510504783661277,249077,L_close_green_14d,0.5409983041762283
2025,0.5456564609866695,248979,L_close_green_14d,0.5409983041762283
2026,0.5279351158211015,98514,L_close_green_14d,0.5409983041762283
2020,0.6167274754231276,236808,L_close_green_30d,0.5513640031360341
2021,0.5651167794607805,246319,L_close_green_30d,0.5513640031360341
2022,0.4762758363951249,247132,L_close_green_30d,0.5513640031360341
2023,0.5379894085203654,245858,L_close_green_30d,0.5513640031360341
2024,0.5716103855434264,249077,L_close_green_30d,0.5513640031360341
2025,0.5539744315785669,248979,L_close_green_30d,0.5513640031360341
2026,0.5238138741701687,98514,L_close_green_30d,0.5513640031360341
