symbol,entry_date,exit_date,entry_price,exit_price,return_pct,momentum_7d,period
JPM,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,205.9416961669922,216.888671875,5.315570334591799,3.558142655794769,September 2024
BAC,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,38.343692779541016,40.734710693359375,6.235752846147701,2.0698566726257357,September 2024
GS,2024-09-10 00:00:00-04:00,2024-09-30 00:00:00-04:00,455.53070068359375,482.8158874511719,5.989758039717743,-7.88207512383482,September 2024
GS,2024-09-17 00:00:00-04:00,2024-10-07 00:00:00-04:00,473.3372802734375,482.3380432128906,1.9015537787882595,1.2051519746119228,September 2024
GS,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,485.65362548828125,509.76959228515625,4.965672143933561,3.9729362866697397,September 2024
AAPL,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,224.9440460205078,235.1565399169922,4.5400152069609865,-0.8720368643118143,October 2024
AAPL,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,224.50650024414062,232.0937957763672,3.379543810079318,-0.8867759895166684,October 2024
AAPL,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,232.54127502441406,220.7675323486328,-5.063076511705351,3.1084649909589617,October 2024
AAPL,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,234.54000854492188,223.2204132080078,-4.826296121988075,3.6519286869338052,October 2024
GOOGL,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,166.14813232421875,163.2428741455078,-1.7485951470352157,2.07836609876174,October 2024
AMZN,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,185.1300048828125,189.07000732421875,2.128235476415763,-3.3768272518778426,October 2024
AMZN,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,182.72000122070312,188.38999938964844,3.1031075585954366,-2.792998864662327,October 2024
AMZN,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,187.69000244140625,195.77999877929688,4.310296889902908,0.6326781241350918,October 2024
