symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
QCOM,2024-09-24,2024-09-26,161.79300304891538,169.16453831652484,4.256152076230887,1,Trailing Stop,85,True
ORCL,2024-09-24,2024-10-07,165.22924797096002,168.88677214806594,1.913605776229616,8,Trailing Stop,85,True
PLTR,2024-09-25,2024-09-30,37.2599983215332,36.51479835510254,-2.3,2,Stop Loss,100,True
SHOP,2024-09-26,2024-09-30,80.81999969482422,78.7105977027893,-2.91,1,Stop Loss,85,True
CRWD,2024-09-27,2024-10-01,284.0,278.32,-2.3,1,Stop Loss,125,True
MRVL,2024-09-30,2024-10-02,71.69440175961272,70.26051372442046,-2.3,1,Stop Loss,115,True
AVGO,2024-09-30,2024-10-02,170.16231456579885,166.75906827448287,-2.3,1,Stop Loss,105,True
SHOP,2024-09-30,2024-10-02,80.0,78.4,-2.3,1,Stop Loss,95,True
NVDA,2024-10-02,2024-10-04,120.87860561160097,124.17347878608221,2.4257703361239162,1,Trailing Stop,165,True
CRWD,2024-10-02,2024-10-04,279.0,289.847998046875,3.588171342965942,1,Trailing Stop,120,True
MRVL,2024-10-02,2024-10-04,70.6990504989527,73.26305858170635,3.3266513689481965,1,Trailing Stop,115,True
INTC,2024-10-03,2024-10-07,22.700000762939453,22.246000747680664,-2.3,1,Stop Loss,130,True
PATH,2024-10-04,2024-10-08,12.479999542236328,12.230399551391601,-2.3,1,Stop Loss,140,True
TSLA,2024-10-08,2024-10-10,243.82000732421875,238.94360717773438,-2.3,1,Stop Loss,160,True
NET,2024-10-08,2024-10-10,81.94000244140625,91.34000244140626,11.17180829866556,1,Trailing Stop,105,True
AMD,2024-10-11,2024-10-15,167.77000427246094,164.41460418701172,-2.3,1,Stop Loss,125,True
SMCI,2024-10-11,2024-10-15,48.18000030517578,46.27207229309082,-4.26,1,Stop Loss,95,True
INTC,2024-10-11,2024-10-15,23.579999923706055,23.035301925468445,-2.6100000000000003,1,Stop Loss,85,True
ROKU,2024-10-15,2024-10-17,79.01000213623047,77.01104908218385,-2.83,1,Stop Loss,85,True
NVDA,2024-10-16,2024-10-21,139.2923118529861,142.787112272941,2.208968638300309,2,Trailing Stop,105,True
S,2024-10-16,2024-10-21,26.5,27.1,1.9641509433962316,2,Trailing Stop,100,True
CRWD,2024-10-16,2024-10-23,310.0,303.8,-2.3,4,Stop Loss,95,True
SNOW,2024-10-17,2024-10-22,120.0,117.6,-2.3,2,Stop Loss,130,True
ZS,2024-10-18,2024-10-23,188.55999755859375,184.78879760742188,-2.3,2,Stop Loss,125,True
LULU,2024-10-18,2024-10-22,291.42999267578125,301.87799072265625,3.2850798852053984,1,Trailing Stop,105,True
NET,2024-10-18,2024-10-22,90.16000366210938,88.35680358886718,-2.3,1,Stop Loss,85,True
ARM,2024-10-21,2024-10-23,150.4600067138672,147.45080657958985,-2.3,1,Stop Loss,125,True
ROKU,2024-10-22,2024-10-24,76.33000183105469,74.8034017944336,-2.3,1,Stop Loss,105,True
QCOM,2024-10-22,2024-10-24,164.7704227870453,161.4750143313044,-2.3,1,Stop Loss,90,True
TSM,2024-10-23,2024-10-25,195.69340070179263,200.60341697005475,2.209035179854764,1,Trailing Stop,95,True
MU,2024-10-24,2024-10-29,107.84597781808132,105.6890582617197,-2.3,2,Stop Loss,135,True
CRWD,2024-10-24,2024-10-28,305.2200012207031,299.11560119628905,-2.3,1,Stop Loss,120,True
ZS,2024-10-24,2024-10-29,185.3800048828125,189.42800292968752,1.8836217176895393,2,Trailing Stop,120,True
TSM,2024-10-25,2024-10-29,195.98844772821238,191.0299400006886,-2.83,1,Stop Loss,85,True
CRWD,2024-10-28,2024-10-30,303.239990234375,313.02880859375,2.928076333800563,1,Trailing Stop,95,True
TSM,2024-10-29,2024-10-31,191.18857712430793,187.36480558182177,-2.3,1,Stop Loss,130,True
MU,2024-10-29,2024-10-31,105.77546744257937,103.65995809372778,-2.3,1,Stop Loss,85,True
RIVN,2024-10-30,2024-11-01,10.380000114440918,10.172400112152099,-2.3,1,Stop Loss,90,True
S,2024-11-01,2024-11-05,25.899999618530273,25.38199962615967,-2.3,1,Stop Loss,130,True
TSLA,2024-11-05,2024-11-07,284.6700134277344,296.73400268554684,3.937885512614767,1,Trailing Stop,140,True
CRWD,2024-11-05,2024-11-07,317.1700134277344,330.01000366210934,3.7482989219598766,1,Trailing Stop,100,True
NET,2024-11-11,2024-11-13,92.88999938964844,97.91399841308593,5.108546728871404,1,Trailing Stop,120,True
ABNB,2024-11-11,2024-11-13,135.64999389648438,132.93699401855469,-2.3,1,Stop Loss,120,True
SNOW,2024-11-11,2024-11-13,123.0,132.2719970703125,7.238209000254061,1,Trailing Stop,85,True
MRVL,2024-11-12,2024-11-15,91.09926829220188,89.15885387757798,-2.4299999999999997,2,Stop Loss,95,True
NVDA,2024-11-12,2024-11-15,149.01896932454213,145.26369129756367,-2.8200000000000003,2,Stop Loss,85,True
INTC,2024-11-13,2024-11-15,25.1200008392334,24.61760082244873,-2.3,1,Stop Loss,125,True
NET,2024-11-13,2024-11-15,94.45999908447266,91.84345710983277,-3.0700000000000003,1,Stop Loss,115,True
PATH,2024-11-13,2024-11-15,13.579999923706055,13.307041925239563,-2.3099999999999996,1,Stop Loss,110,True
MRVL,2024-11-14,2024-11-21,88.79813763560759,92.26478208558885,3.6039607612121287,4,Trailing Stop,110,True
MRVL,2024-11-18,2024-11-20,87.37362931015676,89.1667225275906,1.7522132725753636,1,Trailing Stop,145,True
