entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,symbol,entry_score,momentum_20d,rsi,atr_pct,month
2025-10-20,2025-10-23,282.0946350097656,262.348010559082,-7.0,3,STOP_LOSS,IBM,78.99832130658888,4.52519208475566,51.60247440318093,2.5967642518089638,2025-10
2025-10-20,2025-11-03,807.7737426757812,888.5511169433595,10.0,10,TARGET_HIT,LLY,77.33137992275672,7.154122893423201,61.8808872731088,2.959531363848895,2025-10
2025-10-27,2025-12-09,220.70445251464844,222.92138671875,1.0044809603260823,30,MAX_HOLD,DHR,85.87249208088376,18.784257337187338,65.54880285722604,2.898382683964386,2025-10
2025-10-27,2025-11-18,87.25423431396484,95.97965774536134,10.0,16,TARGET_HIT,MRK,81.59712481767681,11.987775980716687,51.79723717999178,1.7686679928890139,2025-10
2025-10-27,2025-11-04,379.739990234375,353.15819091796874,-7.0,6,STOP_LOSS,ETN,81.4309406372492,3.429115224618605,55.63523685121824,3.0325261149872267,2025-10
2025-10-27,2025-11-26,143.67013549804688,158.03714904785159,10.0,22,TARGET_HIT,NUE,80.85384935509283,6.3675840465219204,60.82901344773874,3.099235119274246,2025-10
2025-10-27,2025-11-06,157.6199951171875,173.38199462890626,10.0,8,TARGET_HIT,DDOG,80.70004039349381,8.508881369790979,53.496497839912955,3.8113810373133514,2025-10
2025-11-03,2025-12-03,147.61666870117188,162.37833557128909,10.0,21,TARGET_HIT,NUE,82.43512206788076,9.241086466080937,60.90806176185267,3.3524955307797524,2025-11
2025-11-03,2025-11-10,294.2016296386719,323.6217926025391,10.0,5,TARGET_HIT,AMGN,78.52049313564643,0.7411903959999461,53.52919716431629,2.0592053614157186,2025-11
2025-11-03,2025-12-03,155.51402282714844,171.0654251098633,10.0,21,TARGET_HIT,STLD,78.4624970597544,10.124964220994476,60.412312295279555,3.3614556050745446,2025-11
2025-11-03,2025-12-08,781.64501953125,859.8095214843751,10.0,24,TARGET_HIT,GS,77.48485371635347,-1.4131897608368746,56.17469748126434,2.250828862701613,2025-11
2025-11-03,2025-12-16,112.77362060546875,114.68000030517578,1.6904482532988614,30,MAX_HOLD,XOM,77.34243788911138,-0.38528476507441556,55.589376888915936,1.5935810545960505,2025-11
2025-11-10,2025-11-13,71.70629119873047,78.87692031860352,10.0,3,TARGET_HIT,CSCO,84.36539471321906,6.863323408815909,55.86972581743421,1.9697603784630813,2025-11
2025-11-10,2025-11-14,1215.909912109375,1130.7962182617186,-7.0,4,STOP_LOSS,KLAC,82.41062599055438,18.824386144594445,60.790791869579174,3.7327928564252044,2025-11
2025-11-10,2025-12-23,153.9308319091797,150.50999450683594,-2.222321129507095,30,MAX_HOLD,CVX,81.55498330355837,2.44175256444288,54.6500154677788,1.7553101313417616,2025-11
2025-11-10,2025-11-18,295.75,275.04749999999996,-7.0,6,STOP_LOSS,VEEV,80.10992463222573,3.3765611471085104,58.36399051563667,2.077044572336146,2025-11
2025-11-10,2025-12-23,83.16000366210938,87.16000366210938,4.810004598187074,30,MAX_HOLD,ZM,79.28626062651794,5.039794853410967,48.71649463896815,2.7684142556066713,2025-11
2025-11-17,2025-12-31,546.7100219726562,566.3599853515625,3.5942204439575907,30,MAX_HOLD,ISRG,88.0496596047847,19.24662911793769,50.635107554511414,2.3985025839826455,2025-11
2025-11-17,2025-12-31,12.880000114440918,13.119999885559082,1.863352243678002,30,MAX_HOLD,F,81.00421424519546,8.665220120614519,47.696616784258254,2.150015072771298,2025-11
2025-11-17,2025-12-31,220.13525390625,228.9199981689453,3.990612183560799,30,MAX_HOLD,DHR,80.53398771250536,5.78242662668671,58.14167284586217,2.3239254262528113,2025-11
2025-11-17,2025-12-10,35.519386291503906,39.0713249206543,10.0,16,TARGET_HIT,SLB,79.22972315370316,7.089435124487868,49.667391871454605,3.0766148418695085,2025-11
2025-11-17,2025-12-31,94.19000244140625,99.19000244140625,5.308419015182,30,MAX_HOLD,UPS,79.1990591854089,10.260481007828648,48.493126979476905,2.453977879355373,2025-11
