entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-05-25,28.860000610351562,28.28280059814453,31.168800659179688,2.0,8.0,0.45,BEAR,Technology,125,2023-05-26,-2.300000000000006,SL,1,U
2023-05-30,60.599998474121094,58.55777852554321,64.22993838272095,3.37,5.99,0.33,BULL,Technology,155,2023-05-31,-3.669999999999999,SL,1,SHOP
2023-05-30,39.900001525878906,38.30400146484375,41.49600158691406,4.0,4.0,0.33,BULL,Technology,110,2023-06-02,3.6999999999999984,TP,3,TENB
2023-05-25,28.120872162541907,27.558454719291067,29.937480504242114,2.0,6.46,0.45,BEAR,Finance_Asset_Mgmt,125,2023-06-06,6.159999999999997,TP,7,VCTR
2023-06-01,26.655216519573262,26.122112189181795,28.787633841139126,2.0,8.0,0.33,BULL,Energy_Oil,135,2023-06-06,-2.300000000000006,SL,3,RRC
2023-06-07,31.3799991607666,30.70532917881012,32.63519912719727,2.15,4.0,0.33,BULL,Semiconductors,125,2023-06-09,-2.449999999999995,SL,2,FORM
2023-06-06,148.77999877929688,145.80439880371094,158.80777069702148,2.0,6.74,0.33,BULL,Technology,110,2023-06-21,5.366089530673777,MaxHold,10,CYBR
2023-06-07,81.94999694824219,80.31099700927734,88.50599670410156,2.0,8.0,0.33,BULL,Semiconductors,140,2023-06-22,0.6640035935892601,MaxHold,10,SYNA
2023-06-22,34.68000030517578,33.986400299072265,36.76080032348633,2.0,6.0,0.33,BULL,Technology,145,2023-06-23,-2.3000000000000007,SL,1,CFLT
2023-06-23,173.27000427246094,169.8046041870117,183.26768351898195,2.0,5.77,0.33,BULL,Technology,155,2023-06-26,-2.300000000000008,SL,1,MNDY
2023-06-12,63.900001525878906,62.622001495361324,69.01200164794922,2.0,8.0,0.33,BULL,Technology,130,2023-06-27,-0.5190973411620392,MaxHold,10,TWLO
2023-06-27,38.59728614755595,37.82534042460483,40.73171607151579,2.0,5.53,0.33,BULL,Real_Estate_Residential,145,2023-06-30,5.229999999999997,TP,3,NXRT
2023-06-28,249.6999969482422,244.70599700927733,269.6759967041016,2.0,8.0,0.33,BULL,Consumer_Auto,155,2023-07-03,7.7000000000000055,TP,3,TSLA
2023-06-26,10.449137708665274,10.240154954491969,11.285068725358498,2.0,8.0,0.33,BULL,Energy_Services,145,2023-07-07,7.700000000000013,TP,8,PTEN
2023-07-07,94.665045049425,92.7717441484365,98.451646851402,2.0,4.0,0.33,BULL,Industrial_Transport,105,2023-07-10,3.6999999999999993,TP,1,ARCB
2023-07-10,135.44000244140625,132.73120239257813,146.27520263671875,2.0,8.0,0.33,BULL,Industrial_Conglomerate,150,2023-07-11,7.699999999999997,TP,1,GNRC
2023-07-11,27.149999618530273,26.606999626159666,28.71383959655762,2.0,5.76,0.33,BULL,Technology,135,2023-07-13,5.460000000000008,TP,2,FROG
2023-07-12,276.3299865722656,268.56511394958494,287.38318603515626,2.81,4.0,0.33,BULL,Consumer_Auto,120,2023-07-17,3.700000000000002,TP,3,TSLA
2023-07-07,43.52000045776367,42.649600448608396,46.34444848747253,2.0,6.49,0.33,BULL,Consumer_Food,115,2023-07-19,6.189999999999999,TP,8,PLAY
2023-07-18,70.4000015258789,68.99200149536132,76.03200164794923,2.0,8.0,0.33,BULL,Consumer_Auto,155,2023-07-19,7.700000000000016,TP,1,LCID
2023-07-20,10.470000267028809,10.260600261688232,11.263626287269593,2.0,7.58,0.33,BULL,Consumer_Auto,120,2023-07-24,7.280000000000011,TP,2,NIO
