symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
SNOW,2023-06-13,2023-06-15,172.72999572753906,187.86599426269532,8.46280837697205,1,Trailing Stop,175,0.33,BULL
AMD,2023-06-15,2023-06-20,125.81999969482422,122.58642570266724,-2.87,1,Stop Loss,120,0.33,BULL
KLAC,2023-06-13,2023-06-21,461.1514255426629,449.3459490487707,-2.8600000000000003,4,Stop Loss,95,0.33,BULL
DDOG,2023-06-16,2023-06-21,95.5999984741211,93.68799850463867,-2.3,1,Stop Loss,100,0.33,BULL
MRVL,2023-06-21,2023-06-23,57.62821212096486,56.475647878545566,-2.3,1,Stop Loss,130,0.33,BULL
UBER,2023-06-22,2023-06-26,42.59000015258789,44.550000762939455,4.302020669944676,1,Trailing Stop,105,0.33,BULL
ABNB,2023-06-22,2023-06-26,125.98999786376953,123.47019790649414,-2.3,1,Stop Loss,95,0.33,BULL
AMAT,2023-06-27,2023-07-06,139.6854875044608,136.8917777543716,-2.3,5,Stop Loss,85,0.33,BULL
LRCX,2023-06-27,2023-07-06,62.420220326664555,61.171815920131266,-2.3,5,Stop Loss,85,0.33,BULL
SHOP,2023-07-20,2023-07-25,66.26000213623047,64.93480209350585,-2.3,2,Stop Loss,95,0.33,BULL
ENPH,2023-07-20,2023-07-26,178.0,174.2264,-2.42,3,Stop Loss,85,0.33,BULL
INTC,2023-07-26,2023-07-28,34.12444357049192,35.82576810184851,4.685647686363329,1,Trailing Stop,90,0.33,BULL
COIN,2023-07-27,2023-07-31,94.80000305175781,99.11999816894532,4.256956727974916,1,Trailing Stop,155,0.33,BULL
UBER,2023-08-03,2023-08-07,46.0,45.08,-2.3,1,Stop Loss,125,0.45,BEAR
MU,2023-08-04,2023-08-08,69.11766141888077,67.73530819050316,-2.3,1,Stop Loss,110,0.45,BEAR
AMAT,2023-08-08,2023-08-10,144.75250571065894,141.39424757817164,-2.62,1,Stop Loss,100,0.45,BEAR
INTC,2023-08-11,2023-08-15,34.09967578017183,34.85504703575633,1.9151860341843203,1,Trailing Stop,105,0.45,BEAR
KLAC,2023-08-15,2023-08-17,474.7359602252956,465.2412410207897,-2.3,1,Stop Loss,120,0.45,BEAR
S,2023-09-01,2023-09-06,17.0,17.783999633789062,4.3117625517003635,1,Trailing Stop,120,0.33,BULL
NVDA,2023-09-05,2023-09-07,48.40977397493204,47.4415784954334,-2.3,1,Stop Loss,85,0.33,BULL
TSLA,2023-09-05,2023-09-07,255.13999938964844,247.66439740753174,-3.2300000000000004,1,Stop Loss,110,0.33,BULL
TSLA,2023-09-08,2023-09-12,264.2699890136719,275.5660095214844,3.974424254518021,1,Trailing Stop,90,0.33,BULL
NET,2023-09-08,2023-09-12,63.790000915527344,65.51799774169922,2.408883526213052,1,Trailing Stop,90,0.33,BULL
ZS,2023-09-08,2023-09-14,162.27000427246094,157.51549314727782,-3.2300000000000004,3,Stop Loss,100,0.33,BULL
COIN,2023-09-13,2023-09-15,81.66999816894531,80.0365982055664,-2.3,1,Stop Loss,85,0.33,BULL
RUN,2023-09-13,2023-09-15,14.539999961853027,15.49999980926514,6.302474896360083,1,Trailing Stop,155,0.33,BULL
ZS,2023-09-15,2023-09-21,154.72999572753906,151.6353958129883,-2.3,3,Stop Loss,85,0.33,BULL
INTC,2023-09-19,2023-09-21,35.62418458541059,34.911700893702374,-2.3,1,Stop Loss,85,0.45,BEAR
PLTR,2023-09-19,2023-09-21,15.25,14.945,-2.3,1,Stop Loss,120,0.45,BEAR
META,2023-10-05,2023-10-09,299.3489394320778,314.3560965179802,4.713265493565402,1,Trailing Stop,105,0.45,BEAR
DDOG,2023-10-11,2023-10-13,89.41000366210938,87.62180358886718,-2.3,1,Stop Loss,130,0.33,BULL
NVDA,2023-10-17,2023-10-20,42.563538500675094,41.712267730661594,-2.3,2,Stop Loss,95,0.33,BULL
