symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
AMAT,2026-01-23,2026-01-27,322.0,333.5760009765625,3.595031359180904,1,Trailing Stop,100
LRCX,2026-01-26,2026-01-28,230.6300048828125,241.31800537109376,4.634262785413388,1,Trailing Stop,110
CAT,2026-01-26,2026-01-29,640.0,671.9919921874999,4.998748779296864,2,Trailing Stop,110
DXCM,2026-01-26,2026-02-03,73.22000122070312,71.67505919494629,-2.11,5,Stop Loss,90
LCID,2026-01-27,2026-01-29,11.180000305175781,10.956400299072266,-2.0,1,Stop Loss,135
SMCI,2026-01-27,2026-01-29,31.59000015258789,30.958200149536133,-2.0,1,Stop Loss,120
AMD,2026-02-02,2026-02-04,251.5500030517578,246.51900299072264,-2.0,1,Stop Loss,140
LRCX,2026-02-02,2026-02-04,244.88999938964844,239.99219940185546,-2.0,1,Stop Loss,115
AMAT,2026-02-02,2026-02-04,336.94000244140625,330.2012023925781,-2.0,1,Stop Loss,110
ENPH,2026-02-03,2026-02-05,48.0,51.39200134277343,7.066669464111319,1,Trailing Stop,170
ADI,2026-02-04,2026-02-06,316.3399963378906,325.4679992675781,2.8855038993986732,1,Trailing Stop,110
META,2026-02-05,2026-02-09,665.489990234375,679.74599609375,2.142181861271014,1,Trailing Stop,140
MU,2026-02-05,2026-02-09,377.9700012207031,389.04199829101566,2.9293322312760495,1,Trailing Stop,135
INTC,2026-02-05,2026-02-09,49.099998474121094,48.11799850463867,-2.0,1,Stop Loss,135
