symbol,entry_date,reason
REGN,2025-11-20,RSI extended (73.0 > 72)
SCCO,2025-11-20,RSI too low (28.0 < 45)
FCX,2025-11-20,RSI too low (42.8 < 45)
NEM,2025-11-20,Downtrend (MA20 < MA50)
GOLD,2025-11-20,Downtrend (MA20 < MA50)
PATH,2025-11-20,RSI too low (17.5 < 45)
PLTR,2025-11-20,RSI too low (27.4 < 45)
DKNG,2025-11-20,RSI too low (42.0 < 45)
PENN,2025-11-20,RSI too low (27.9 < 45)
RIVN,2025-11-20,Volume too low (0.71x < 0.8x)
LCID,2025-11-20,RSI too low (17.7 < 45)
GOOGL,2025-11-25,Volume too high (1.89x > 1.8x)
MSFT,2025-11-25,RSI too low (32.0 < 45)
AMZN,2025-11-25,RSI too low (32.3 < 45)
NVDA,2025-11-25,RSI too low (36.6 < 45)
TSLA,2025-11-25,RSI too low (35.8 < 45)
META,2025-11-25,Downtrend (MA20 < MA50)
ASML,2025-11-25,RSI too low (42.9 < 45)
AMD,2025-11-25,RSI too low (31.6 < 45)
QCOM,2025-11-25,RSI too low (30.0 < 45)
MU,2025-11-25,RSI too low (44.6 < 45)
INTC,2025-11-25,RSI too low (38.4 < 45)
TSM,2025-11-25,RSI too low (42.5 < 45)
LRCX,2025-11-25,RSI too low (40.3 < 45)
KLAC,2025-11-25,RSI too low (38.1 < 45)
SNPS,2025-11-25,RSI too low (44.8 < 45)
CDNS,2025-11-25,RSI too low (25.4 < 45)
MRVL,2025-11-25,RSI too low (36.3 < 45)
SNOW,2025-11-25,RSI too low (39.3 < 45)
CRWD,2025-11-25,RSI too low (42.5 < 45)
DDOG,2025-11-25,Freefall (-9.8% < -8%)
NET,2025-11-25,RSI too low (31.2 < 45)
ZS,2025-11-25,RSI too low (31.1 < 45)
OKTA,2025-11-25,RSI too low (27.1 < 45)
SHOP,2025-11-25,Downtrend (MA20 < MA50)
SQ,2025-11-25,Error: Failed to get price data for SQ from all sources
COIN,2025-11-25,RSI too low (28.0 < 45)
HOOD,2025-11-25,RSI too low (32.1 < 45)
RBLX,2025-11-25,RSI too low (30.7 < 45)
U,2025-11-25,Volume too low (0.71x < 0.8x)
MRNA,2025-11-25,Volume too low (0.51x < 0.8x)
ILMN,2025-11-25,Momentum extended (39.4% > 38%)
REGN,2025-11-25,RSI extended (86.4 > 72)
BIIB,2025-11-25,RSI extended (87.0 > 72)
SCCO,2025-11-25,RSI too low (42.9 < 45)
FCX,2025-11-25,Volume too low (0.75x < 0.8x)
NEM,2025-11-25,Downtrend (MA20 < MA50)
GOLD,2025-11-25,Volume too low (0.52x < 0.8x)
PATH,2025-11-25,RSI too low (37.6 < 45)
PLTR,2025-11-25,RSI too low (35.3 < 45)
DKNG,2025-11-25,Downtrend (MA20 < MA50)
PENN,2025-11-25,RSI too low (35.9 < 45)
RIVN,2025-11-25,Volume too low (0.47x < 0.8x)
LCID,2025-11-25,RSI too low (25.8 < 45)
MSFT,2025-12-01,RSI too low (38.8 < 45)
