symbol,entry_date,exit_date,entry_price,exit_price,return_pct,rsi,accumulation,price_above_ma20,is_winner,is_loser,month
PARA,2025-10-29,2025-11-18,70.9503402709961,76.95819854736328,8.467694803745923,59.23697527997072,1.7705415463880785,2.2593687600566215,True,False,2025-10
PARA,2025-11-04,2025-11-24,71.93507385253906,75.8342056274414,5.42034860893483,59.6819036829305,1.3459589547235165,2.280525620101872,True,False,2025-11
PARA,2025-11-05,2025-11-25,71.71623992919922,75.91378021240234,5.852984327325419,57.891386074800046,1.3967286551335156,1.8419091146548292,True,False,2025-11
PARA,2025-11-06,2025-11-26,70.6618881225586,75.66510772705078,7.0805065324810155,53.67840645818369,1.4447617618414685,0.2681778432442782,True,False,2025-11
PARA,2025-11-07,2025-11-28,70.69172668457031,76.53048706054688,8.259467762089582,53.27728392108087,1.7652018485434093,0.0894314375335227,True,False,2025-11
PARA,2025-11-10,2025-12-01,71.70629119873047,75.63526916503906,5.4792653484470755,56.82821322168692,1.8235736502722764,1.1959849384695256,True,False,2025-11
PARA,2025-11-11,2025-12-02,71.32831573486328,76.46085357666016,7.195652650589973,54.541321158938416,1.4224787481380599,0.447535770557015,True,False,2025-11
PARA,2025-11-20,2025-12-11,75.03846740722656,78.84807586669922,5.076874023556846,59.455236085926515,1.799831038011348,2.2852870526815496,True,False,2025-11
PARA,2025-12-01,2025-12-19,75.63526916503906,78.00260162353516,3.1299319545362936,57.327299532804595,1.5538387438082655,1.3319435990745667,True,False,2025-12
PARA,2025-12-12,2026-01-05,77.38591003417969,75.58000183105469,-2.333639550568533,56.13081080417535,1.4257654864612839,0.33984742518072497,False,True,2025-12
PARA,2025-12-15,2026-01-06,77.83351135253906,75.2300033569336,-3.344970502246958,56.188278525878644,1.9130987689026915,0.9039473042479457,False,True,2025-12
PARA,2025-12-16,2026-01-07,77.13723754882812,74.72000122070312,-3.133682777523478,56.15312250659362,2.0547416207292986,0.016124402036937345,False,True,2025-12
PARA,2025-12-22,2026-01-13,77.69425201416016,75.47000122070312,-2.862825416031614,58.26641454361511,2.00716692118485,0.5969339845441091,False,True,2025-12
PARA,2025-12-23,2026-01-14,77.60472869873047,74.41000366210938,-4.116662850563327,58.59272448232172,1.6469989428223,0.3659796683005227,False,True,2025-12
PARA,2025-12-24,2026-01-15,77.60472869873047,75.25,-3.03425930122347,56.03904263406451,1.8502748919170573,0.2563544091130936,False,True,2025-12
PARA,2025-12-26,2026-01-16,77.74398803710938,75.19000244140625,-3.2851229531523853,51.67780595758911,1.8721974740079357,0.30157276812388667,False,True,2025-12
CMCSA,2025-10-29,2025-11-18,70.9503402709961,76.95819854736328,8.467694803745923,59.23697527997072,1.7705415463880785,2.2593687600566215,True,False,2025-10
CMCSA,2025-11-04,2025-11-24,71.93507385253906,75.8342056274414,5.42034860893483,59.6819036829305,1.3459589547235165,2.280525620101872,True,False,2025-11
CMCSA,2025-11-05,2025-11-25,71.71623992919922,75.91378021240234,5.852984327325419,57.891386074800046,1.3967286551335156,1.8419091146548292,True,False,2025-11
CMCSA,2025-11-06,2025-11-26,70.6618881225586,75.66510772705078,7.0805065324810155,53.67840645818369,1.4447617618414685,0.2681778432442782,True,False,2025-11
CMCSA,2025-11-07,2025-11-28,70.69172668457031,76.53048706054688,8.259467762089582,53.27728392108087,1.7652018485434093,0.0894314375335227,True,False,2025-11
CMCSA,2025-11-10,2025-12-01,71.70629119873047,75.63526916503906,5.4792653484470755,56.82821322168692,1.8235736502722764,1.1959849384695256,True,False,2025-11
CMCSA,2025-11-11,2025-12-02,71.32831573486328,76.46085357666016,7.195652650589973,54.541321158938416,1.4224787481380599,0.447535770557015,True,False,2025-11
CMCSA,2025-11-20,2025-12-11,75.03846740722656,78.84807586669922,5.076874023556846,59.455236085926515,1.799831038011348,2.2852870526815496,True,False,2025-11
CMCSA,2025-12-01,2025-12-19,75.63526916503906,78.00260162353516,3.1299319545362936,57.327299532804595,1.5538387438082655,1.3319435990745667,True,False,2025-12
CMCSA,2025-12-12,2026-01-05,77.38591003417969,75.58000183105469,-2.333639550568533,56.13081080417535,1.4257654864612839,0.33984742518072497,False,True,2025-12
