symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
S,2023-02-07,2023-02-10,16.309999465942383,15.748935484313964,-3.44,2,Stop Loss,125
RIVN,2023-02-08,2023-02-10,20.489999771118164,20.0801997756958,-2.0,1,Stop Loss,105
SNOW,2023-02-09,2023-02-13,159.66000366210938,163.97999877929686,2.7057465978329507,1,Trailing Stop,145
S,2023-02-09,2023-02-13,15.65999984741211,15.340535850524903,-2.04,1,Stop Loss,130
PYPL,2023-02-10,2023-02-14,80.46399104766627,78.85471122671294,-2.0,1,Stop Loss,160
CHWY,2023-02-10,2023-02-14,45.31999969482422,47.78400115966797,5.4368964727181055,1,Trailing Stop,140
LOW,2023-02-10,2023-02-14,197.36295453205645,201.75337304889158,2.2245403283735388,1,Trailing Stop,110
PATH,2023-02-13,2023-02-15,15.100000381469727,16.731999588012695,10.80794149214532,1,Trailing Stop,175
SHOP,2023-02-13,2023-02-15,48.75,52.710000610351564,8.123078175080131,1,Trailing Stop,165
NFLX,2023-02-13,2023-02-16,35.755001068115234,35.03990104675293,-2.0,2,Stop Loss,140
UBER,2023-02-14,2023-02-16,35.0099983215332,36.385999298095705,3.9303086047741402,1,Trailing Stop,115
ZS,2023-02-17,2023-02-23,130.2100067138672,133.5820037841797,2.5896604688166445,2,Trailing Stop,125
META,2023-02-17,2023-02-22,173.10081786312165,169.63880150585922,-2.0,1,Stop Loss,125
CRWD,2023-02-17,2023-02-22,112.0199966430664,117.05199737548828,4.492055778626323,1,Trailing Stop,95
DXCM,2023-02-21,2023-02-23,114.54000091552734,112.2492008972168,-2.0,1,Stop Loss,110
S,2023-02-22,2023-02-24,16.010000228881836,15.689800224304198,-2.0,1,Stop Loss,185
TSLA,2023-02-22,2023-02-24,203.91000366210938,199.8318035888672,-2.0,1,Stop Loss,155
UBER,2023-02-22,2023-02-24,34.790000915527344,34.094200897216794,-2.0,1,Stop Loss,125
DXCM,2023-02-23,2023-03-02,110.41999816894531,119.18000183105468,7.93334885652357,4,Trailing Stop,130
ADI,2023-02-23,2023-03-02,174.79529547887415,171.29938956929666,-2.0,4,Stop Loss,100
ABNB,2023-02-27,2023-03-01,125.11000061035156,122.60780059814454,-2.0,1,Stop Loss,150
