symbol,entry_date,score,mom,rsi,ret,days,exit
WMT,2025-12-22,94.0,7.1302050895660845,51.29822569198013,4.2717631022826055,25,MAX_HOLD
QCOM,2025-12-22,90.25,7.232215115054317,57.799731363622556,-7.0,16,STOP_LOSS
META,2025-12-22,90.0,11.40757163307141,56.21645473225297,-7.0,15,STOP_LOSS
AMD,2025-12-22,88.75,5.481400645724282,49.727281701959626,-7.0,13,STOP_LOSS
COP,2025-12-22,88.75,6.7986661614750785,58.46671108038787,10.0,8,TARGET_HIT
NVDA,2025-12-29,94.0,6.3449061170116,53.096727129602726,2.2792441070608906,21,MAX_HOLD
ACN,2025-12-29,91.0,8.53599853515625,59.27916057698046,-3.729636343248641,21,MAX_HOLD
TGT,2025-12-29,86.0,8.254243545386771,64.44953556525076,10.0,7,TARGET_HIT
GS,2025-12-29,84.75,8.54232203040957,58.890817185035814,10.0,13,TARGET_HIT
DAL,2025-12-29,84.75,8.471139523299707,58.96043600652494,-7.0,21,STOP_LOSS
APTV,2026-01-05,94.0,5.337511867281277,57.461390131917724,10.0,4,TARGET_HIT
BKNG,2026-01-05,94.0,6.970862817358235,55.99540729932989,-7.0,10,STOP_LOSS
DIS,2026-01-05,91.0,8.885732263463076,60.805344453444945,-2.182868300544505,17,MAX_HOLD
RCL,2026-01-05,90.0,8.425884216536113,51.72795726820105,10.0,3,TARGET_HIT
V,2026-01-05,84.75,8.162635643914822,59.907079820804036,-7.0,6,STOP_LOSS
SBUX,2026-01-12,94.0,6.160020477100967,54.22060617171322,10.0,11,TARGET_HIT
LULU,2026-01-12,91.0,11.78011840350682,49.50398766596199,-7.0,5,STOP_LOSS
C,2026-01-12,90.25,5.333809914457785,55.630444489350914,-2.1240442351917466,12,MAX_HOLD
CCL,2026-01-12,90.25,13.541668236712379,53.88272669428445,-7.0,3,STOP_LOSS
ABNB,2026-01-12,84.75,8.210933208465576,60.20209380985292,-7.0,5,STOP_LOSS
AMZN,2026-01-19,91.0,8.06706309037124,58.0448441702839,1.0915024521778105,8,MAX_HOLD
AVGO,2026-01-19,91.0,8.086304483672448,49.71224005322399,-7.0,2,STOP_LOSS
MRK,2026-01-19,90.0,9.729785739247788,56.63431539380029,-0.45024853893206424,8,MAX_HOLD
GE,2026-01-19,90.0,11.401132066751178,57.69799818421576,-7.0,3,STOP_LOSS
MS,2026-01-19,84.75,8.175053224628138,59.525061437723245,-3.5379991384904796,8,MAX_HOLD
